variant,file,bytes,status,signer,timestamp,sha256
cu126,cudart64_12.dll,556544,NotSigned,-,no,d954ca542b3b6bcf03cc2b798a7d00051501cf734ca751050e986af505cf9dad
cu126,cudnn_cnn64_9.dll,4618272,Valid,CN=NVIDIA Corporation,yes,3f03dec3b81f137f049e1d1c06ff469248eef54ff9424b3b9045fc0f69559d1a
cu126,cudnn_graph64_9.dll,2420256,Valid,CN=NVIDIA Corporation,yes,a933efeb280a3252297f92d79f7e83003bcbc6f665872d11645d1dbbab9cb598
cu126,cudnn64_9.dll,266288,Valid,CN=NVIDIA Corporation,yes,9edbcdff73b0af070eb160b2ce66e59feca04aa017351d8eedcc5e8e149967d2
cu126,cufftw64_11.dll,163328,NotSigned,-,no,07a6b785dbc1e3da5405a36599528f9ab7498ab4cd345a396d90aa0e4216a0c7
cu126,cupti64_2024.3.2.dll,4759624,Valid,CN=NVIDIA Corporation,yes,d7e6611b2f7aa8785176d3157940af41cb973ace0c4071b135f55defcd40d51b
cu126,libiomp5md.dll,1614192,Valid,CN=Intel Corporation,yes,d41a71c38f627a95748596820ab380135dcccc4ceecd6fe7d4e247d015bf55a4
cu126,nvJitLink_120_0.dll,39236608,NotSigned,-,no,8bdfe39adb72bf4fd7ed665dc242df1e48da015b641651183d35e9a7db76abe8
cu126,nvperf_host.dll,15363656,Valid,CN=NVIDIA Corporation,yes,2e27b0e4444b8fc3737668c8965a042d47912a4287540bf31705de58fa84b081
cu126,nvrtc-builtins64_126.dll,5345792,NotSigned,-,no,49b2d9298a97425f32bd74767ed784d702c2831a132459e254b49144ecf23c02
cu126,nvToolsExt64_1.dll,48128,NotSigned,-,no,0fe54f1b80ad3e44da2a3d9f0956e7c3903029d6319689ce1c4068f7a20932f3
cu130,c10_cuda.dll,412160,NotSigned,-,no,70ffa5563b61a8ef4ded697f4e2b017ed5bf6d2472fe781c0f8547a557d8bb5e
cu130,c10.dll,1081344,NotSigned,-,no,bdd7b87c1bd9eabbc8f6dc8fd08137f9fdb0536dd25bddb84548b75257b94843
cu130,caffe2_nvrtc.dll,54272,NotSigned,-,no,6d398471b578a082a2493aad28f4781ecebbcc589401da80b8c601e7f1feb522
cu130,cublas64_13.dll,50288240,Valid,CN=NVIDIA Corporation,yes,5d083083cdd613577496791dd96d00fe3a78c955684b53ca46a8ffa3e0b1e170
cu130,cudart64_13.dll,470640,Valid,CN=NVIDIA Corporation,yes,58c509047f9dd1879cf82c6d5375a95c02c7bd295ae6c8362c745c936e2afc31
cu130,cudnn_cnn64_9.dll,1428080,Valid,CN=NVIDIA Corporation,yes,c3c2aacf2b61563c72b14d2466da403c99c13d17dddddf62af2f5a1a299aa3a6
cu130,cudnn_graph64_9.dll,2285600,Valid,CN=NVIDIA Corporation,yes,bd641fd259e877928ae9469efae7a40666d0b4db71ea1df18a40479378b75dfe
cu130,cudnn_ops64_9.dll,29970976,Valid,CN=NVIDIA Corporation,yes,92c09220f486c3eb3a456106e069667253f153792b2e8e91cba49db110a74f5e
cu130,cudnn64_9.dll,266352,Valid,CN=NVIDIA Corporation,yes,99a529a5c252fbc1efcb2f51860498aed053be878090f2094ac86638d4765021
cu130,cufftw64_12.dll,201264,Valid,CN=NVIDIA Corporation,yes,59e3b4cfb3e82481ebd773f3a58bf4f64966d1657ccc6b8f72b33c42fcda6079
cu130,cupti64_2025.3.0.dll,2067488,Valid,CN=NVIDIA Corporation,yes,2015295ce64f2b6f36ee8a0b9c91cb365ded4bd7173c63da36f75caad1d464ee
cu130,libiomp5md.dll,1614192,Valid,CN=Intel Corporation,yes,d41a71c38f627a95748596820ab380135dcccc4ceecd6fe7d4e247d015bf55a4
cu130,nvJitLink_130_0.dll,88218656,Valid,CN=NVIDIA Corporation,yes,b6c247de22ee23ef60d0148bd3a3343164891cd9f2e9946bf23fc459d12c5222
cu130,nvperf_host.dll,27764256,Valid,CN=NVIDIA Corporation,yes,8530cc52b673a0cee8e84ded28c041b16622ae566d4b9d15ffbc275bc8695afc
cu130,nvrtc-builtins64_130.dll,4471328,Valid,CN=NVIDIA Corporation,yes,65813a86fbe8fe9ab6adff04275c7e9be9d4ca67fccdb868bb18a4f497155a6b
cu130,nvToolsExt64_1.dll,48128,NotSigned,-,no,0fe54f1b80ad3e44da2a3d9f0956e7c3903029d6319689ce1c4068f7a20932f3
cu130,uv.dll,195072,NotSigned,-,no,fa569e682fc5fb7a8eb94c6829af9f30a569748dbbc6bce39735d48bc960bcf8
