name,version,kind,filename,ledger_license,declared_source,wheel_License-Expression,wheel_License,wheel_Classifier_License,wheel_License-File_count,ledger_vs_wheel,license_files_count,license_files,NOTICE_files,classification,gap,native_count,native_paths,entries,archive_bytes,url
absl-py,2.5.0,wheel,absl_py-2.5.0-py3-none-any.whl,Apache-2.0,License-Expression,Apache-2.0,,License :: OSI Approved :: Apache Software License,2,same,2,absl_py-2.5.0.dist-info/licenses/AUTHORS (296 B); absl_py-2.5.0.dist-info/licenses/LICENSE (11358 B),,permissive,,0,,30,137410,https://files.pythonhosted.org/packages/58/0a/a10b45aab35b175aded078a462dc8d0c698f5b13946e7cb0869097b78bb6/absl_py-2.5.0-py3-none-any.whl
annotated-doc,0.0.5,wheel,annotated_doc-0.0.5-py3-none-any.whl,MIT,License-Expression,MIT,,,1,same,1,annotated_doc-0.0.5.dist-info/licenses/LICENSE (1086 B),,permissive,,0,,8,5302,https://files.pythonhosted.org/packages/3e/30/e900b21425a860e195f32e37657aa1f7c7f2b1bfb26f03ca209b90933c06/annotated_doc-0.0.5-py3-none-any.whl
annotated-types,0.8.0,wheel,annotated_types-0.8.0-py3-none-any.whl,MIT,License-Expression,MIT,,License :: OSI Approved :: MIT License,1,same,1,annotated_types-0.8.0.dist-info/licenses/LICENSE (1083 B),,permissive,,0,,7,13427,https://files.pythonhosted.org/packages/99/91/8acff4f5e50511b911bbccb72b8628a49c68ce14148cd9f6431094859a90/annotated_types-0.8.0-py3-none-any.whl
anyio,4.15.0,wheel,anyio-4.15.0-py3-none-any.whl,MIT,License-Expression,MIT,,,1,same,1,anyio-4.15.0.dist-info/licenses/LICENSE (1081 B),,permissive,,0,,53,131908,https://files.pythonhosted.org/packages/21/a6/2b21ce5ebe4d8938a247c9b0dbb7271566ae559b01795c83ea4bb2660ed7/anyio-4.15.0-py3-none-any.whl
argbind,0.3.9,sdist,argbind-0.3.9.tar.gz,License :: OSI Approved :: MIT License,Classifier,,,License :: OSI Approved :: MIT License,1,same,1,argbind-0.3.9/LICENSE.md (1073 B),,permissive,LICENSE-OUTSIDE-package_dir (dropped by pure-python-src install),0,,14,17567,https://files.pythonhosted.org/packages/8e/25/4422cf7777c0cedd2fbcbdf8face786be76186e6d2e7b66f5f37e266b604/argbind-0.3.9.tar.gz
blinker,1.9.0,wheel,blinker-1.9.0-py3-none-any.whl,License :: OSI Approved :: MIT License,Classifier,,,License :: OSI Approved :: MIT License,0,same,1,blinker-1.9.0.dist-info/LICENSE.txt (1054 B),,permissive,,0,,8,8458,https://files.pythonhosted.org/packages/10/cb/f2ad4230dc2eb1a74edf38f1a38b9b52277f75bef262d8908e60d957e13c/blinker-1.9.0-py3-none-any.whl
certifi,2026.7.22,wheel,certifi-2026.7.22-py3-none-any.whl,MPL-2.0,License,,MPL-2.0,License :: OSI Approved :: Mozilla Public License 2.0 (MPL 2.0),1,same,1,certifi-2026.7.22.dist-info/licenses/LICENSE (989 B),,weak-copyleft (MPL-2.0),MPL-2.0 Exhibit A only (full MPL-2.0 body not shipped),0,,12,136983,https://files.pythonhosted.org/packages/0b/a7/71ac2cff56fec219ed242bb11b8efb69fcc4bec75db06fb7bfe35de520e6/certifi-2026.7.22-py3-none-any.whl
cffi,2.1.1,wheel,cffi-2.1.1-cp312-cp312-win_amd64.whl,MIT-0,License-Expression,MIT-0,,,1,same,1,cffi-2.1.1.dist-info/licenses/LICENSE (1123 B),,permissive (MIT-0 = MIT No Attribution),,1,_cffi_backend.cp312-win_amd64.pyd,31,185919,https://files.pythonhosted.org/packages/d9/79/615cc094e2fb508cade7de88d3b4f6c4ec2bab695c97bce9153dc65aadf5/cffi-2.1.1-cp312-cp312-win_amd64.whl
charset-normalizer,3.5.1,wheel,charset_normalizer-3.5.1-cp312-cp312-win_amd64.whl,MIT,License,,MIT,,1,same,1,charset_normalizer-3.5.1.dist-info/licenses/LICENSE (1092 B),,permissive,,2,charset_normalizer/cd.cp312-win_amd64.pyd; charset_normalizer/md.cp312-win_amd64.pyd,21,200551,https://files.pythonhosted.org/packages/9d/7a/4c6c298171e6b3e745633180ff59350fc0ca0db1ffd28df1e369e0579f71/charset_normalizer-3.5.1-cp312-cp312-win_amd64.whl
click,8.5.0,wheel,click-8.5.0-py3-none-any.whl,BSD-3-Clause,License-Expression,BSD-3-Clause,,,1,same,1,click-8.5.0.dist-info/licenses/LICENSE.txt (1475 B),,permissive,,0,,22,125251,https://files.pythonhosted.org/packages/58/50/6c0d534c5f134586a8e1ba4e330569e32f057e33372ae556463212fb4cd3/click-8.5.0-py3-none-any.whl
