"archive","entry","bytes","sha256","status","signer_subject","has_timestamp"
"cffi-2.1.1-cp312-cp312-win_amd64.whl","_cffi_backend.cp312-win_amd64.pyd","181248","9af5e4f68a41f26b726f2e9424f9d58a4f5666189f6a48be95f406b257102aec","NotSigned","","no"
"charset_normalizer-3.5.1-cp312-cp312-win_amd64.whl","charset_normalizer/cd.cp312-win_amd64.pyd","117248","71ffb046452b819770538cb59fd25694c0a8e9b08af4b8b71f26dac85dcff062","NotSigned","","no"
"charset_normalizer-3.5.1-cp312-cp312-win_amd64.whl","charset_normalizer/md.cp312-win_amd64.pyd","193536","c53a0a481bbcef6a88492bd113b6293997900f4a17a1a5055776d76256d720f9","NotSigned","","no"
"grpcio-1.83.1-cp312-cp312-win_amd64.whl","grpc/_cython/cygrpc.cp312-win_amd64.pyd","11177984","89c7b390b8ef99425571aa3873a0ee1dc36115b716966be3f8ed391b663667c3","NotSigned","","no"
"hf_xet-1.6.0-cp38-abi3-win_amd64.whl","hf_xet/hf_xet.pyd","9499136","ea8f5ddb1ae42adf5e4d376ec27b7f1ea1fe843e15f5d7a9e45fe1298ca4fd4c","NotSigned","","no"
"httptools-0.8.0-cp312-cp312-win_amd64.whl","httptools/parser/parser.cp312-win_amd64.pyd","124416","04777205573d164d66030bc6d9dd9eaac35b9f73a8789a044c1423db01ee43ab","NotSigned","","no"
"httptools-0.8.0-cp312-cp312-win_amd64.whl","httptools/parser/url_parser.cp312-win_amd64.pyd","52224","1b75cea9e13cf0895e3bafdafee237eb361568c59ba3cb5ccfbd06fa2d8199c4","NotSigned","","no"
"llvmlite-0.49.0-cp312-cp312-win_amd64.whl","llvmlite.libs/msvcp140-8f141b4454fa78db34bc1f28c571b4da.dll","557648","8f141b4454fa78db34bc1f28c571b4da0e00cd2c43f7ad0e282f313036826aae","Valid","CN=Microsoft Windows Software Compatibility Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","yes"
"llvmlite-0.49.0-cp312-cp312-win_amd64.whl","llvmlite/binding/llvmlite.dll","120369664","900c79bf1e07d530f853523f3f2dffd608098cb6bbea7703f31be52fb89e1423","NotSigned","","no"
"markupsafe-3.0.3-cp312-cp312-win_amd64.whl","markupsafe/_speedups.cp312-win_amd64.pyd","13312","6107cd12e027357194947a9e4881aecf468790d2cb6ef4dd6ec77f5736232098","NotSigned","","no"
"msgpack-1.2.2-cp312-cp312-win_amd64.whl","msgpack/_cmsgpack.cp312-win_amd64.pyd","126464","d2928799c43862b2d18c39f05c32378d4c98ba0131625f6dfb8b012006a5523c","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/_devicearray.cp312-win_amd64.pyd","12288","c7483dc403a105490011f60957785d6561d4e935636074b38dfecc118fbc5938","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/_dispatcher.cp312-win_amd64.pyd","41472","06167c9bfa01007a2efdc97b04709febe83e87f575820ac566564715098fbf70","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/_dynfunc.cp312-win_amd64.pyd","16896","fa38ff877880cf66a6556d5c54f6f39941b951a6d047a2ad60617a97897ecbc7","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/_helperlib.cp312-win_amd64.pyd","203776","1b797925f0423b0668686653e35639e0010bf3b2910dc6752a13b71e642db0b6","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/core/runtime/_nrt_python.cp312-win_amd64.pyd","25088","4d758ce1b9ee519deb7d994a6215ec1c52ab63153313fdeedafc249a26af3ef8","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/core/typeconv/_typeconv.cp312-win_amd64.pyd","20480","76cd586965efbddf9d36dc7a35e8bf322634ea390feafed999001130ba5da754","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/cuda/cudadrv/_extras.cp312-win_amd64.pyd","10752","d025c6e21dae08a77aa16a928a9173ecec180b3fcc50a30c427e87539007bf0c","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/experimental/jitclass/_box.cp312-win_amd64.pyd","12800","076aeece9f019f5d29690ce175f95dfd17a264b83cb30e1bc8ce3da2926892a6","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/mviewbuf.cp312-win_amd64.pyd","14848","957a8a3d6db6e473e8ffe48739c65896b4f58bcb6995549ba8306602b81f725c","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/np/ufunc/_internal.cp312-win_amd64.pyd","23552","174739c6642f3c298f34a7db300265a20208c72eeb5a80af1d3681471be9d4a8","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/np/ufunc/_num_threads.cp312-win_amd64.pyd","10752","437a29eaab32d903f1e63f4099200871a681c4e73c28fe6390ed1c3824e82d67","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/np/ufunc/omppool.cp312-win_amd64.pyd","36352","d4014f6cafc2bb6e9c8d663d2cbe49bf08eee0019b8152fa9863259fca0d9a4b","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/np/ufunc/tbbpool.cp312-win_amd64.pyd","46592","a01b3ac30e5cfeab7026349ec771d3bf8c6b17da2b8882dea43a29b28481e55c","NotSigned","","no"
"numba-0.67.0-cp312-cp312-win_amd64.whl","numba/np/ufunc/workqueue.cp312-win_amd64.pyd","38400","f3c1d6989718354e6adba47f1ff25f649be3627f9959eb021d5fa3a681226259","NotSigned","","no"
"numpy-2.5.2-cp312-cp312-win_amd64.whl","numpy.libs/libscipy_openblas64_-327b2e0bcffce2882e0dc04cdeb4eaa6.dll","20495360","327b2e0bcffce2882e0dc04cdeb4eaa6382ed4dba29871b6176fa157782f484a","NotSigned","","no"
"numpy-2.5.2-cp312-cp312-win_amd64.whl","numpy.libs/msvcp140-a4c2229bdc2a2a630acdc095b4d86008.dll","575056","a4c2229bdc2a2a630acdc095b4d86008e5c3e3bc7773174354f3da4f5beb9cde","Valid","CN=Microsoft Windows Software Compatibility Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","yes"
"numpy-2.5.2-cp312-cp312-win_amd64.whl","numpy/_core/_multiarray_tests.cp312-win_amd64.pyd","65536","47ff40012ce4bbb2c2b4f698fa60f0551d35d817a39316d022aefaaa48e1987e","NotSigned","","no"
"numpy-2.5.2-cp312-cp312-win_amd64.whl","numpy/_core/_multiarray_umath.cp312-win_amd64.pyd","3849216","63169915c2d78aba0984bd5e235a92936c319d228c35919a41758b20cd8683c1","NotSigned","","no"
"numpy-2.5.2-cp312-cp312-win_amd64.whl","numpy/_core/_operand_flag_tests.cp312-win_amd64.pyd","12288","6b119484cd0b5a4826482188f4944e2fe8d8404ba1f3290844a3d940af2a5248","NotSigned","","no"
"numpy-2.5.2-cp312-cp312-win_amd64.whl","numpy/_core/_rational_tests.cp312-win_amd64.pyd","43520","1eadf92ea62f7358295bc62eb699ce7e9947420abf137eebebad59bd42a4f070","NotSigned","","no"
"numpy-2.5.2-cp312-cp312-win_amd64.whl","numpy/_core/_simd.cp312-win_amd64.pyd","831488","44820458e000860abe932a0f7d5b89b6eb4f865fbe9fc1f23c95644a28fb3f98","NotSigned","","no"
